UniprotID	logFC	AveExpr	t	P.Value	adj.P.Val	B	ensembl_gene_id
O43657	-0.397132900736121	24.257155542389	-0.695355995122273	0.489420588071926	0.846062337049095	-6.01567007647833	ENSG00000000003
O60762	-0.194415252727971	26.4241754471586	-0.947499611116999	0.347048915223076	0.746111911676856	-5.81519490929845	ENSG00000000419
Q8IZE3	-0.0972915110372412	23.0259175252732	-0.262091172056227	0.794116719314767	0.95144081802209	-6.21781241022175	ENSG00000000457
P08603	0.425362608225097	29.6612767501691	4.06603018047011	0.000136737357931996	0.00867010247445554	0.892723197563475	ENSG00000000971
Q9BTY2	-0.550258477801908	26.4807446656695	-2.26530219532725	0.0269846858317817	0.207542301608894	-3.84112056857841	ENSG00000001036
P48506	0.0482019479995834	28.4201806403474	0.315429312909561	0.753491019799548	0.936903124431837	-6.2027540560848	ENSG00000001084
P23511	0.0525195519716561	22.1720892578712	0.131479516718791	0.895820114942876	0.976744906064564	-6.24295870084469	ENSG00000001167
Q9Y4W2	-0.530520460371427	24.2336264033409	-1.12102479582198	0.266584434724444	0.664693608848831	-5.64258020806672	ENSG00000001497
Q9Y6X5	-0.88073210417615	25.5649115950864	-1.39127809623704	0.169097891956468	0.549288412462079	-5.31881985400307	ENSG00000001561
Q16850	-0.521343261836787	26.3955945928689	-1.70584807407842	0.0930229038752558	0.40035824375041	-4.86040030409967	ENSG00000001630
P28838	0.48930811242586	31.2760009588285	3.57960061219771	0.000673963990079198	0.0195485406271376	-0.568278922155712	ENSG00000002549
P14209	-2.03281266880255	25.3681702474387	-3.41725491950031	0.00112008788942687	0.0266917925889693	-1.02968964507995	ENSG00000002586
P19801	-0.45471283048979	29.3922697145133	-2.72577877051351	0.00832056783053729	0.0988497960346838	-2.82282137517319	ENSG00000002726
Q9Y6D9	0.303065252812551	24.3773358960996	0.452079083707604	0.652783796384939	0.90665869573507	-6.15154171726964	ENSG00000002822
Q14847	0.113644725433613	28.5603349701117	0.342116703058511	0.733419000693808	0.930847738327337	-6.19417672487275	ENSG00000002834
P20645	-0.107944405321511	27.434341340731	-0.769060615710245	0.444766272590937	0.827022063070515	-5.96330180203644	ENSG00000003056
Q92851	0.366462898614593	24.88038887136	0.618181048204264	0.53871184305024	0.871869232681211	-6.06493964987233	ENSG00000003400
Q7L592	0.00566510381906227	22.3840961433982	0.0186680973764172	0.985165600192853	0.997773382091647	-6.25124933541759	ENSG00000003509
P84085	-0.658626215280485	27.2709657037258	-1.87151849420608	0.065975907588757	0.339964762885377	-4.58500643508597	ENSG00000004059
Q9Y2S7	-0.261799300027025	26.2641520263645	-1.2045109836994	0.232952955944257	0.627925095780541	-5.54963471932616	ENSG00000004142
P54819	0.0328464232746875	31.0838883374989	0.345695245429015	0.730737603763335	0.930085008583898	-6.19297659480374	ENSG00000004455
P28907	1.51519805797033	25.8899979961299	2.24728727064475	0.0281974334571483	0.213205190746104	-3.87812284649637	ENSG00000004468
Q02790	0.0624647946048853	29.7005153713367	0.602718670934221	0.54888590505692	0.877596462149722	-6.07412400049613	ENSG00000004478
O60341	0.148579843155449	25.4820038640233	0.426892665292386	0.670930729285067	0.912364961792939	-6.16234424478513	ENSG00000004487
P46063	-0.641908290920512	27.5248895818013	-1.81314326663522	0.0746354736252706	0.35982607870259	-4.6846624350639	ENSG00000004700
Q96JG6	-0.222754838266503	25.4092453840541	-0.682571182077025	0.497410760101141	0.852413851298404	-6.0242262567606	ENSG00000004766
O14558	-1.40103225311109	26.1940054778512	-3.02042142831546	0.00365900456261804	0.0599175732130816	-2.09482405788579	ENSG00000004776
O14561	-1.35211997413995	27.5894246073232	-3.1503770904468	0.00251206522207063	0.0469119577258601	-1.75769230205685	ENSG00000004779
Q9UJS0	-0.218155469247503	28.262294422402	-1.73913727732448	0.0869550008398723	0.387073975167203	-4.80690823719432	ENSG00000004864
