UniprotID	logFC	AveExpr	t	P.Value	adj.P.Val	B	ensembl_gene_id
O43657	-0.64522961263771	24.2688917080043	-1.12175449085424	0.266274168297117	0.665992452032236	-5.65006615562633	ENSG00000000003
O60762	-0.19441525272795	26.4241754471586	-0.947979899853576	0.346804420165898	0.74681483208041	-5.82314087241786	ENSG00000000419
Q8IZE3	-0.0276125977301866	23.0300566199597	-0.075083664762829	0.940388855119399	0.988539327237031	-6.25732736370144	ENSG00000000457
P08603	0.425362608225139	29.6612767501691	4.06666216572642	0.000136382225234173	0.00845104857047665	0.89159033715892	ENSG00000000971
Q9BTY2	-0.550258477801894	26.4807446656695	-2.26692889075099	0.026877479022405	0.207302536222312	-3.84480586369297	ENSG00000001036
P48506	0.0482019479996261	28.4201806403474	0.315638700774368	0.753332283642439	0.938088839629172	-6.21132699518928	ENSG00000001084
P23511	0.166075182664102	22.3397542531262	0.433557754116322	0.666108010125936	0.904691039418433	-6.16815514676142	ENSG00000001167
Q9Y4W2	-0.492530899453339	24.2556608864384	-0.943158853076173	0.349244875883483	0.747422412948442	-5.82754143617938	ENSG00000001497
Q9Y6X5	-0.815813308327154	25.5973709930108	-1.42724756327362	0.158504385061151	0.531238114160085	-5.27880308679326	ENSG00000001561
Q16850	-0.526012324409244	26.3932600615826	-1.69016569054446	0.0959972623726022	0.409934142771298	-4.8930320162014	ENSG00000001630
P28838	0.489308112425881	31.2760009588285	3.58017457326503	0.000672534245558671	0.0197168238765131	-0.571025162676164	ENSG00000002549
P14209	-2.11864299099944	25.3296062513487	-3.38503332487409	0.00123680016346166	0.0290701348765363	-1.12452850852725	ENSG00000002586
P19801	-0.45471283048975	29.3922697145133	-2.72737190341505	0.00828381230988496	0.0971432871522639	-2.82528061414714	ENSG00000002726
Q9Y6D9	0.30405968265725	24.3684032140505	0.446452714304397	0.656819107498269	0.904691039418433	-6.16261438410771	ENSG00000002822
Q14847	0.113644725433641	28.5603349701117	0.342336753664509	0.733254958050208	0.932508109502526	-6.20273414802366	ENSG00000002834
P20645	-0.107944405321479	27.434341340731	-0.769499521691973	0.444506196708718	0.819136714369994	-5.97145664318291	ENSG00000003056
Q92851	0.348559041831361	24.913247614434	0.663002570345688	0.509775929585418	0.851520123165617	-6.0455500151792	ENSG00000003400
Q7L592	-0.00827163392289876	22.2998316264882	-0.0233703956332597	0.981429553643191	0.995444274324092	-6.25982122258629	ENSG00000003509
P84085	-0.658626215280457	27.2709657037258	-1.87360310701519	0.0656797843932243	0.338796595137367	-4.58893626673679	ENSG00000004059
Q9Y2S7	-0.261799300027008	26.2641520263645	-1.20541705490678	0.232603344279865	0.628224881801933	-5.55679957076606	ENSG00000004142
P54819	0.0328464232747478	31.0838883374989	0.345723110734191	0.73071616745424	0.932508109502526	-6.20159844217184	ENSG00000004455
P28907	1.51519805797037	25.8899979961299	2.24797667970988	0.0281530121022199	0.212679426206073	-3.88382222009467	ENSG00000004468
Q02790	0.0624647946049173	29.7005153713367	0.603160823736331	0.548592511028232	0.873198952852428	-6.08241887444905	ENSG00000004478
O60341	0.145198749817833	25.4803133173544	0.410813932231629	0.682619347134507	0.910922698759153	-6.17753441281314	ENSG00000004487
P46063	-0.641908290920501	27.5248895818013	-1.81425925024272	0.0744622835203312	0.360581450063935	-4.6904106994385	ENSG00000004700
Q96JG6	-0.222754838266486	25.4092453840541	-0.683208707097997	0.49700935087729	0.844666697233339	-6.03232510752546	ENSG00000004766
O14558	-1.36820189662632	26.2104206560935	-3.03002461873773	0.00355843309194157	0.0582706776287008	-2.07576939081001	ENSG00000004776
O14561	-1.35211997413991	27.5894246073232	-3.15162839536353	0.00250337800108961	0.0469103788314147	-1.7600582733738	ENSG00000004779
Q9UJS0	-0.218155469247463	28.262294422402	-1.7396520407247	0.0868612722185144	0.389738400967755	-4.81377550483825	ENSG00000004864
P30260	0.791239399291694	25.0749686981633	0.545704843006391	0.587278230123002	0.888330067687065	-6.1145166490475	ENSG00000004897
P02730	-0.340557795738572	30.3893545368017	-1.91174511960623	0.0605132098221728	0.323191511420478	-4.52219730467726	ENSG00000004939
P53701	-0.137703665387981	25.2390010375138	-0.222986477678979	0.824275924606882	0.959906141301175	-6.2357422876605	ENSG00000004961
Q92900	-0.291295043471319	29.1329985711796	-1.70549734541133	0.0930860912043677	0.402217476495576	-4.86869885344122	ENSG00000005007
P05141	-0.319941882695439	32.7813206437245	-2.33860423155197	0.0225809554651144	0.184885811037942	-3.69625192436032	ENSG00000005022
